data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2021,3,Region 3,Fentanyl,3/31/2021,9722,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,4,Region 3,Fentanyl,4/30/2021,9786,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,5,Region 3,Fentanyl,5/31/2021,9768,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,6,Region 3,Fentanyl,6/30/2021,9791,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,7,Region 3,Fentanyl,7/31/2021,9843,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,8,Region 3,Fentanyl,8/31/2021,9839,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,9,Region 3,Fentanyl,9/30/2021,9825,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,10,Region 3,Fentanyl,10/31/2021,9833,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,11,Region 3,Fentanyl,11/30/2021,9826,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2021,12,Region 3,Fentanyl,12/31/2021,9893,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,1,Region 3,Fentanyl,1/31/2022,9846,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,2,Region 3,Fentanyl,2/28/2022,9842,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,3,Region 3,Fentanyl,3/31/2022,9798,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,4,Region 3,Fentanyl,4/30/2022,9673,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,5,Region 3,Fentanyl,5/31/2022,9537,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,6,Region 3,Fentanyl,6/30/2022,9489,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,7,Region 3,Fentanyl,7/31/2022,9406,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,8,Region 3,Fentanyl,8/31/2022,9446,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,9,Region 3,Fentanyl,9/30/2022,9365,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,10,Region 3,Fentanyl,10/31/2022,9417,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2022,11,Region 3,Fentanyl,11/30/2022,9470,"North Carolina, South Carolina, Georgia, Florida"
