data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2021,9,United States,Methamphetamine,2021-09-30,29614.0,
2025-01-05,2021,9,United States,Oxycodone,2021-09-30,5163.0,
2025-01-05,2021,9,United States,Xylazine,2021-09-30,3333.0,
2025-01-05,2021,10,United States,Cocaine,2021-10-31,25099.0,
2025-01-05,2021,10,United States,Fentanyl,2021-10-31,68408.0,
2025-01-05,2021,10,United States,Gabapentin,2021-10-31,4240.0,
2025-01-05,2021,10,United States,Heroin,2021-10-31,10168.0,
2025-01-05,2021,10,United States,Methamphetamine,2021-10-31,30404.0,
2025-01-05,2021,10,United States,Oxycodone,2021-10-31,5124.0,
2025-01-05,2021,10,United States,Xylazine,2021-10-31,3513.0,
2025-01-05,2021,11,United States,Cocaine,2021-11-30,25725.0,
2025-01-05,2021,11,United States,Fentanyl,2021-11-30,69386.0,
2025-01-05,2021,11,United States,Gabapentin,2021-11-30,4280.0,
2025-01-05,2021,11,United States,Heroin,2021-11-30,9833.0,
2025-01-05,2021,11,United States,Methamphetamine,2021-11-30,30949.0,
2025-01-05,2021,11,United States,Oxycodone,2021-11-30,5094.0,
2025-01-05,2021,11,United States,Xylazine,2021-11-30,3638.0,
2025-01-05,2021,12,United States,Cocaine,2021-12-31,26416.0,
2025-01-05,2021,12,United States,Fentanyl,2021-12-31,70521.0,
2025-01-05,2021,12,United States,Gabapentin,2021-12-31,4318.0,
2025-01-05,2021,12,United States,Heroin,2021-12-31,9504.0,
2025-01-05,2021,12,United States,Methamphetamine,2021-12-31,31461.0,
2025-01-05,2021,12,United States,Oxycodone,2021-12-31,5090.0,
2025-01-05,2021,12,United States,Xylazine,2021-12-31,3792.0,
2025-01-05,2022,1,United States,Cocaine,2022-01-31,26741.0,
2025-01-05,2022,1,United States,Fentanyl,2022-01-31,70897.0,
2025-01-05,2022,1,United States,Gabapentin,2022-01-31,4295.0,
2025-01-05,2022,1,United States,Heroin,2022-01-31,9163.0,
2025-01-05,2022,1,United States,Methamphetamine,2022-01-31,31726.0,
2025-01-05,2022,1,United States,Oxycodone,2022-01-31,5035.0,
2025-01-05,2022,1,United States,Xylazine,2022-01-31,3936.0,
2025-01-05,2022,2,United States,Cocaine,2022-02-28,27254.0,
2025-01-05,2022,2,United States,Fentanyl,2022-02-28,71853.0,
2025-01-05,2022,2,United States,Gabapentin,2022-02-28,4301.0,
